Autodesk Viewer mesh export
Source: https://autode.sk/4qnE031
Units: mm
Format: OBJ mesh, not parametric CAD solids

OK 154_Forged_Hexagon_Socket_Button_Head_Cap_Screw_-_Metric_M3_x_0.5_x_6.obj: 835 vertices, 1102 faces, 1 fragments
OK 034_Forged_Hexagon_Socket_Button_Head_Cap_Screw_-_Metric_M3_x_0.5_x_6.obj: 835 vertices, 1102 faces, 1 fragments
OK 019_ANSI_B_18.2.4.1_M_-_M3_x_0.5Style_1.obj: 606 vertices, 564 faces, 1 fragments
OK 018_ANSI_B_18.2.4.1_M_-_M3_x_0.5Style_1.obj: 606 vertices, 564 faces, 1 fragments
OK 020_ANSI_B_18.2.4.1_M_-_M3_x_0.5Style_1.obj: 606 vertices, 564 faces, 1 fragments
OK 054_ANSI_B_18.2.4.1_M_-_M3_x_0.5Style_1.obj: 606 vertices, 564 faces, 1 fragments
OK 051_ANSI_B_18.2.4.1_M_-_M3_x_0.5Style_1.obj: 606 vertices, 564 faces, 1 fragments
OK 017_ANSI_B_18.2.4.1_M_-_M3_x_0.5Style_1.obj: 606 vertices, 564 faces, 1 fragments
OK 082_ANSI_B_18.2.4.1_M_-_M3_x_0.5Style_1.obj: 606 vertices, 564 faces, 1 fragments
OK 081_ANSI_B_18.2.4.1_M_-_M3_x_0.5Style_1.obj: 606 vertices, 564 faces, 1 fragments
OK 080_ANSI_B_18.2.4.1_M_-_M3_x_0.5Style_1.obj: 606 vertices, 564 faces, 1 fragments
OK 079_ANSI_B_18.2.4.1_M_-_M3_x_0.5Style_1.obj: 606 vertices, 564 faces, 1 fragments
OK 076_ANSI_B18.6.5M_-_M2.5x0.45_x_8(38).obj: 910 vertices, 920 faces, 1 fragments
OK 050_ANSI_B18.6.5M_-_M2.5x0.45_x_8(38).obj: 910 vertices, 920 faces, 1 fragments
OK 148_ANSI_B18.6.5M_-_M2.5x0.45_x_8(38).obj: 910 vertices, 920 faces, 1 fragments
OK 077_ANSI_B18.6.5M_-_M2.5x0.45_x_8(38).obj: 910 vertices, 920 faces, 1 fragments
OK 133_ANSI_B18.6.5M_-_M2.5x0.45_x_8(38).obj: 910 vertices, 920 faces, 1 fragments
OK 147_ANSI_B18.6.5M_-_M2.5x0.45_x_4(38).obj: 942 vertices, 960 faces, 1 fragments
OK 049_ANSI_B18.6.5M_-_M2.5x0.45_x_4(38).obj: 942 vertices, 960 faces, 1 fragments
OK 132_ANSI_B18.6.5M_-_M2.5x0.45_x_4(38).obj: 942 vertices, 960 faces, 1 fragments
OK 075_ANSI_B18.6.5M_-_M2.5x0.45_x_4(38).obj: 942 vertices, 960 faces, 1 fragments

Exported 89 OBJ mesh files.
